product_url	name	description	price	image_url	category	offer_id	instock	shipping	brand	upc	color	size	quantity	product_id	manufacturer_id	exp_date	product_type	delete	currency
https://www.ecdiscounts.com/houseware/product_info.php?products_id=1	"Matrox G200 MMS"	"Reinforcing its position as a multi-monitor trailblazer, Matrox Graphics Inc. has once again developed the most flexible and highly advanced solution in the industry. Introducing the new Matrox G200 Multi-Monitor Series; the first graphics card ever to support up to four DVI digital flat panel displays on a single 8&quot; PCI board.With continuing demand for digital flat panels in the financial workplace, the Matrox G200 MMS is the ultimate in flexible solutions. The Matrox G200 MMS also supports the new digital video interface (DVI) created by the Digital Display Working Group (DDWG) designed to ease the adoption of digital flat panels. Other configurations include composite video capture ability and onboard TV tuner, making the Matrox G200 MMS the complete solution for business needs.Based on the award-winning MGA-G200 graphics chip, the Matrox G200 Multi-Monitor Series provides superior 2D/3D graphics acceleration to meet the demanding needs of business applications such as real-time stock quotes (Versus), live video feeds (Reuters & Bloombergs), multiple windows applications, word processing, spreadsheets and CAD."	299.99	https://www.ecdiscounts.com/houseware/images/houseware/matrox/mg200mms.gif	Hardware > Graphics Cards	MG200MMS	Y		Matrox					MG200MMS			OTHER		USD
https://www.ecdiscounts.com/houseware/product_info.php?products_id=2	"Matrox G400 32MB"	"Dramatically Different High Performance GraphicsIntroducing the Millennium G400 Series - a dramatically different, high performance graphics experience. Armed with the industry's fastest graphics chip, the Millennium G400 Series takes explosive acceleration two steps further by adding unprecedented image quality, along with the most versatile display options for all your 3D, 2D and DVD applications. As the most powerful and innovative tools in your PC's arsenal, the Millennium G400 Series will not only change the way you see graphics, but will revolutionize the way you use your computer.Key features:New Matrox G400 256-bit DualBus graphics chipExplosive 3D, 2D and DVD performanceDualHead DisplaySuperior DVD and TV output3D Environment-Mapped Bump MappingVibrant Color Quality rendering UltraSharp DAC of up to 360 MHz3D Rendering Array ProcessorSupport for 16 or 32 MB of memory"	499.99	https://www.ecdiscounts.com/houseware/images/houseware/matrox/mg400-32mb.gif	Hardware > Graphics Cards	MG400-32MB	Y		Matrox					MG400-32MB			OTHER		USD
https://www.ecdiscounts.com/houseware/product_info.php?products_id=27	"Hewlett Packard - Sale with Attributes NOT on Sale"	"The Product Price is set to 499.75      A Sale Maker Discount of 10% is applied.      The attribute are marked NOT to be discounted.      Prior to the discount being applied:  Blue +$20.00  Black +$10.00  White $0.00      4 meg +$50.00  8 meg +$75.00  16 meg +$100.00  "	499.75	https://www.ecdiscounts.com/houseware/images/houseware/hewlett_packard/lj1100xi.gif	Hardware > Printers	HPLJ1100XI	Y		Hewlett Packard					HPLJ1100XI			OTHER		USD
https://www.ecdiscounts.com/houseware/product_info.php?products_id=25	"Microsoft Internet Keyboard PS/2"	"The Internet Keyboard has 10 Hot Keys on a comfortable standard keyboard design that also includes a detachable palm rest. The Hot Keys allow you to browse the web, or check e-mail directly from your keyboard. The IntelliType Pro software also allows you to customize your hot keys - make the Internet Keyboard work the way you want it to!"	69.99	https://www.ecdiscounts.com/houseware/images/houseware/microsoft/intkeyboardps2.gif	Hardware > Keyboards	MSINTKB	Y		Microsoft					MSINTKB			OTHER		USD
https://www.ecdiscounts.com/houseware/product_info.php?products_id=3	"Microsoft IntelliMouse Pro"	"Every element of IntelliMouse Pro - from its unique arched shape to the texture of the rubber grip around its base - is the product of extensive customer and ergonomic research. Microsoft's popular wheel control, which now allows zooming and universal scrolling functions, gives IntelliMouse Pro outstanding comfort and efficiency."	39.99	https://www.ecdiscounts.com/houseware/images/houseware/microsoft/msimpro.gif	Hardware > Mice	MSIMPRO	Y		Microsoft					MSIMPRO			OTHER		USD
https://www.ecdiscounts.com/houseware/product_info.php?products_id=26	"Microsoft IntelliMouse Explorer"	"Microsoft introduces its most advanced mouse, the IntelliMouse Explorer! IntelliMouse Explorer features a sleek design, an industrial-silver finish, a glowing red underside and taillight, creating a style and look unlike any other mouse. IntelliMouse Explorer combines the accuracy and reliability of Microsoft IntelliEye optical tracking technology, the convenience of two new customizable function buttons, the efficiency of the scrolling wheel and the comfort of expert ergonomic design. All these great features make this the best mouse for the PC!"	64.95	https://www.ecdiscounts.com/houseware/images/houseware/microsoft/imexplorer.gif	Hardware > Mice	MSIMEXP	Y		Microsoft					MSIMEXP			OTHER		USD
https://www.ecdiscounts.com/houseware/product_info.php?products_id=4	"The Replacement Killers"	"Regional Code: 2 (Japan, Europe, Middle East, South Africa).Languages: English, Deutsch.Subtitles: English, Deutsch, Spanish.Audio: Dolby Surround 5.1.Picture Format: 16:9 Wide-Screen.Length: (approx) 80 minutes.Other: Interactive Menus, Chapter Selection, Subtitles (more languages)."	42	https://www.ecdiscounts.com/houseware/images/houseware/dvd/replacement_killers.gif	DVD Movies > Action	DVD-RPMK	Y		Warner					DVD-RPMK			OTHER		USD
https://www.ecdiscounts.com/houseware/product_info.php?products_id=6	"The Matrix Linked"	"Regional Code: 2 (Japan, Europe, Middle East, South Africa).    Languages: English, Deutsch.    Subtitles: English, Deutsch.    Audio: Dolby Surround.    Picture Format: 16:9 Wide-Screen.    Length: (approx) 131 minutes.    Other: Interactive Menus, Chapter Selection, Making Of."	30	https://www.ecdiscounts.com/houseware/images/houseware/dvd/the_matrix.gif	DVD Movies > Action	DVD-MATR	Y		Warner					DVD-MATR			OTHER		USD
https://www.ecdiscounts.com/houseware/product_info.php?products_id=9	"Under Siege Linked"	"Regional Code: 2 (Japan, Europe, Middle East, South Africa). Languages: English, Deutsch. Subtitles: English, Deutsch, Spanish. Audio: Dolby Surround 5.1. Picture Format: 16:9 Wide-Screen. Length: (approx) 98 minutes. Other: Interactive Menus, Chapter Selection, Subtitles (more languages)."	29.99	https://www.ecdiscounts.com/houseware/images/houseware/dvd/under_siege.gif	DVD Movies > Action	DVD-UNSG	Y		Warner					DVD-UNSG			OTHER		USD
https://www.ecdiscounts.com/houseware/product_info.php?products_id=10	"Under Siege 2 - Dark Territory"	"Regional Code: 2 (Japan, Europe, Middle East, South Africa).  Languages: English, Deutsch.  Subtitles: English, Deutsch, Spanish.  Audio: Dolby Surround 5.1.  Picture Format: 16:9 Wide-Screen.  Length: (approx) 98 minutes.  Other: Interactive Menus, Chapter Selection, Subtitles (more languages)."	29.99	https://www.ecdiscounts.com/houseware/images/houseware/dvd/under_siege2.gif	DVD Movies > Action	DVD-UNSG2	Y		Warner					DVD-UNSG2			OTHER		USD
